Front,Back
Could you describe information security?,"Information security is how companies protect 
their systems and information from threats. 
It can include the processes an organization follows 
to ensure security, the technology infrastructure and the roles that govern this area."
What is pentesting in your own words?,"Pentesting, or penetration testing, is a simulated cyberattack on a computer system, network, or web application to identify security vulnerabilities. Pentesting is performed by ethical hackers, who use the same tools and techniques as malicious attackers, but with the permission of the target organization."
What are the different penetration phases?,"There are five penetration testing phases: 
reconnaissance, scanning, vulnerability assessment, exploitation, and reporting."
Reconnaissance,"In this phase, the tester gathers as much information about the target system as they can, 
including information about the network topology, operating systems and applications, 
user accounts, and other relevant information. "
Scanning,"Once all the relevant data has been gathered in the reconnaissance phase, 
it’s time to move on to scanning. In this penetration testing phase, 
the tester uses various tools to identify open ports 
and check network traffic on the target system."
Vulnerability Assessment,"the tester uses all the data gathered in the reconnaissance and scanning phases
 to identify potential vulnerabilities and determine whether they can be exploited. "
Exploitation,"In this penetration testing phase, the penetration tester attempts to access 
the target system and exploit the identified vulnerabilities, typically by using
 a tool like Metasploit to simulate real-world attacks."
Reporting,"Once the exploitation phase is complete, the tester prepares a report documenting 
the penetration test’s findings. The report generated in this final penetration testing 
phase can be used to fix any vulnerabilities found in the system
 and improve the organization’s security posture."
What are the different encryption types?,"Symmetric and asymmetric encryption are the two main types. 
Using keys, symmetric encryption means users and information owners 
can use the same key to encrypt or decrypt information. Assymetric means 
there's a private and public key to increase data protection for more sensitive information"
What makes a system vulnerable?,"Systems and programs are most vulnerable if they don't have additional security
 features like firewalls or advanced encryptions. In my last role, I pentested each 
new program we required, as they often lacked security features. 
This helped us identify what security measures we could implement to protect data."
Explain the OWASP Top 10,"The OWASP Top 10 is a list of the ten most critical web application security risks. 
These risks are commonly exploited by attackers. They include issues like Injection, 
Broken Authentication, Cross-Site Scripting (XSS), and more"
Black Box,Testers have no prior knowledge of the system. Simulates an external attacker.
White Box,Testers have full knowledge of the system's internals. Simulates an insider threat.
Grey Box,"Testers have partial knowledge, often provided by the client. Simulates a compromised insider."
Explain the CIA triad ,"The CIA Triad stands for Confidentiality, Integrity, and Availability"
Confidentiality,Ensuring that data is only accessible to authorized individuals.
Integrity, Ensuring that data is accurate and hasn't been tampered with.
Availability,Ensuring that data and systems are available when needed
Security Engineer,Focuses on designing and implementing security systems
Security Analyst:,"Analyzes security data, investigates incidents, and monitors for threats."
Security Architect,Designs the overall security structure and strategy of an organization.
What is CVSS?,"Common Vulnerability Scoring System (CVSS) 
is a framework for rating the severity of security vulnerabilities."
CVE,(Common Vulnerabilities and Exposures): Identifies and lists specific security vulnerabilities.
CWE,Identifies types of software weaknesses that can lead to vulnerabilities.
Pentest Methodology/Standard,"The choice of methodology/standard depends on the specific project and client requirements.
 OWASP, OSSTMM, NIST, and ISSAF are all recognized frameworks."
Attack Vector,The means or path through which an attacker can exploit a vulnerability.
Attack Surface,The sum of all possible attack vectors in a system.
Injection,"This vulnerability occurs when untrusted data is sent to an interpreter
 as part of a command or query. Common types include SQL injection
 and Cross-Site Scripting (XSS). Attackers can manipulate input 
to execute malicious commands or scripts."
Broken Authentication,"Weak authentication mechanisms, such as using default credentials 
or not implementing proper session management, can lead to unauthorized access. 
Attackers may exploit these weaknesses to gain unauthorized access to user accounts."
Sensitive Data Exposure,"When sensitive information like passwords or credit card numbers is not adequately protected,
 it can be exposed to attackers. This can happen through insecure storage, 
insufficient encryption, or other means."
XML External Entity (XXE),"XXE occurs when an application processes XML input without properly validating 
and protecting against external entity references. Attackers can use this to read local files,
 perform remote code execution, or launch Denial of Service (DoS) attacks."
Cross-Site Scripting (XSS),"XSS vulnerabilities occur when an application includes untrusted data
 in web pages without proper validation. This can allow attackers 
to inject malicious scripts that execute in the victim's browser."
